Unnamed: 0,안흥지 애련정,소래역사관,KT&G상상마당 홍대,명동난타극장,백운계곡관광지
소극장혜화당,0.973130919594277,0.9979724748095355,0.9953474676089517,0.9995196637646352,0.9853585201647168
하이커그라운드,0.936072905037748,0.9716737184446466,0.8662644266150838,0.9814158167164152,0.9615115077871136
보안여관,0.921990054489334,0.9458222652779474,0.800680231546838,0.9516319905388616,0.9470291522599744
창덕궁,0.9652761565730263,0.9728585174886334,0.8706401394730995,0.9634978482677524,0.954815720101249
진관사,0.7902998426344512,0.804214061129775,0.7588886241122386,0.8007079999665645,0.7583582365233001
서울공예박물관,0.8278593489362798,0.907632339196404,0.8720889657769212,0.8878144537814712,0.8573147269253524
천주교서울대교구 주교좌 명동대성당,0.765694572824447,0.8105840882011504,0.6838525400122295,0.8103534160956747,0.7622776079058609
달마사,0.7721947422395758,0.817373318606714,0.7175769386345502,0.8539566497534609,0.7702153798093965
파주디엠지곤돌라,0.9516427227021972,0.9760073115957764,0.904080261867077,0.9624400801921664,0.9434507511117746
퍼스트가든,0.7799043804196233,0.7423263029635924,0.5763676079510851,0.7325225705872462,0.7781027561510387
국립민속박물관 파주,0.7554311988548505,0.7709612706104844,0.7036399159093117,0.7657436595219036,0.7908941652469537
지혜의숲,0.9878417411164102,0.9991398377979848,0.9862779740871612,0.9959171419993996,0.99424799006471
파주공룡박물관,0.9587352549271042,0.983880541853194,0.8586329684350138,0.9729131731984298,0.9779836799979892
종묘,0.9915362396721972,0.9949004669451952,0.9775618374558304,0.9891323926748724,0.9954899013007388
광명새빛공원,0.9848057297237092,0.9882122124799712,0.8539212382445678,0.9857678768233415,0.9858624445058016
화담숲 곤충생태관,0.9756163095318062,0.9984025559105432,0.9940518256772674,0.9985589912939056,0.988169161383097
곤지암리조트 스파라스파,0.97044469975475,0.9896318664786744,0.882199466736628,0.9843925577864434,0.9905300827689676
서울우리소리박물관,0.9599603490649842,0.972408640588488,0.844237711907561,0.9764144631026984,0.9827747267435238
북촌마을서재,0.9695659240725404,0.980880898425646,0.8799284643854388,0.9584977962946608,0.9592311789866028
장안문,0.9765190652763542,0.9795687693534636,0.8537789476382357,0.9792884393369,0.9868936160357656
테르메덴,0.916315052391034,0.9436937641471436,0.9107609639807348,0.9409040967534767,0.9342896192107034
한국민속촌,0.7954161895109703,0.7750141752061684,0.6296089401938768,0.7838437065197668,0.7839192818584124
펀시티,0.6821057415843015,0.7784482843305855,0.6419001921332687,0.7651409721522008,0.8105851650034313
알비,0.9729275864946942,0.9660363374963468,0.825121147311265,0.9668254154153668,0.966621651126118
춘천삼악산호수케이블카,0.98206488882918,0.997235192922094,0.9868080094228504,0.9947763434404082,0.9922870775867704
토이로봇관,0.9392087055820516,0.9845170803637258,0.9948763250883392,0.9917742419693784,0.9591476567095888
애니메이션박물관,0.9697051118425472,0.9963135905627918,0.9956419316843346,0.9992794956469528,0.9826786064448656
플레이 더월드 강남점,0.9716196158350512,0.981982445963484,0.8527582096639046,0.985533902294228,0.9823596245368342
창경궁,0.969048282780426,0.9810257203246024,0.8482948600752496,0.969243891457607,0.9905432507424874
팔달문화센터,0.7657349805666644,0.8272763035626758,0.8134674325405522,0.8049753300545766,0.7908824360543882
국립중앙박물관,0.979539857798266,0.9868933390683268,0.8517619732389623,0.9888163746884198,0.9752901117603342
전쟁기념관 어린이박물관,0.7689756194474433,0.7742658946189238,0.6804877850695302,0.80421743592034,0.7177864798462654
국립고궁박물관,0.9755026743456972,0.9934411934406048,0.8751976778151116,0.9844765537047206,0.9910603013532966
남산공원 N서울타워,0.805136893778408,0.8716015599040107,0.7426957283142098,0.8615075225420559,0.8103159148718767
서대문 자연사박물관,0.8465273442992738,0.8775832711655109,0.8074537105763216,0.9404376374877188,0.8718244853216401
펀타임 대학로,0.8403075722375933,0.8800431162675998,0.7867511761086385,0.8734830727959793,0.8807846501061265
인천개항박물관,0.982841372162202,0.975612353774348,0.8555331283564552,0.9592705328333756,0.969561539358277
마이랜드,0.9691125885713854,0.9910910748655044,0.8641965232609827,0.9839160216014357,0.9798377577770698
몬스터리움,0.93737478173062,0.9260404571559492,0.7873021868266785,0.9444919858572736,0.9536494108963512
금빛수로보트하우스,0.984080069859609,0.9986483165396902,0.9859835100117784,0.9939957970579404,0.9941172625661808
한강중앙공원,0.8675699185340409,0.8129628368848725,0.688043404957359,0.7879172217017545,0.8497877096077956
아라마리나클럽하우스,0.9710849798995016,0.9878083738363734,0.8754273995446755,0.955265498753679,0.9786690367026488
아이스타일,0.9680167122028736,0.9808831465388,0.8989251255952848,0.9775826793951492,0.9750115651576352
가드너스,0.9123881950542622,0.8799027347797281,0.7382527475660539,0.8637089022009231,0.8874190706564893
반포한강공원,0.8602070801938142,0.8210378422747624,0.7864023562883038,0.7990083071506675,0.8018225615255404
올림픽공원,0.8449417219587474,0.8734294464447104,0.967923387116119,0.8590992282905853,0.8891692538543134
노들섬,0.7939181255988018,0.8437600366624153,0.9345431684403048,0.7918823891817255,0.8351784668066562
석파정,0.987102841405253,0.9968051118210864,0.9803886925795052,0.9903332332632844,0.9928753513301524
여의도공원,0.7595424584137402,0.7928826901935356,0.8036116551711565,0.7399271198459079,0.7724704187330782
평택남부문예회관 대공연장,0.8894317230144407,0.9354409593639624,0.9962897526501768,0.9169248228203388,0.9170853090622432
석남사,0.9912003761671258,0.994654706316048,0.978268551236749,0.9900930651456018,0.998104451271325
수원탑동시민농장,0.9834755155504804,0.9979724748095355,0.9877502944640754,0.9948964274992494,0.9925485325838292
서울대학교 수원수목원,0.9744072009135488,0.9382526419267632,0.891813898704358,0.9209246472530772,0.9706516765801688
DMZ생생누리,0.9812588164170082,0.9992012779552716,0.9918727915194346,0.9974181927349144,0.991045166350742
파주임진각평화곤돌라 DMZ탑승장,0.9570000683137598,0.9885237141394324,0.8991967980895508,0.9639178278591376,0.9742472318897027
서울어린이대공원,0.967079525011198,0.9965549293859286,0.8674062810595691,0.987482769840666,0.9811991851411934
서울어린이대공원 동물원,0.9815275072210654,0.9976038338658146,0.9891048292108364,0.996877814470129,0.9928099875808876
한성백제박물관,0.8071226461910715,0.6747754113253255,0.7860058389762286,0.7905565941777244,0.8863147089649177
코마린 이스트보트하우스 송도지점,0.9384403415950432,0.968972348468677,0.8424835311893415,0.9651242944961298,0.9449960748387404
월미양궁연습장,0.9812820690544068,0.9757001108093424,0.8445797740977707,0.9732600943541398,0.96768501798643
월미테마파크,0.9614428696177876,0.9926271811255836,0.997173144876325,0.9971179825878114,0.9743774102882542
송도달빛축제공원,0.9048302570663396,0.9217988195849316,0.816246788926314,0.9612978751210302,0.9539772131571918
서축공업기념관,0.9653189462753394,0.984082410011038,0.9067485902528108,0.9610883788383708,0.9764330042838972
오두산통일전망대,0.9782360448713644,0.9990169574834112,0.9934040047114252,0.998498949264485,0.987973070135303
명필름아트센터,0.8516415516906771,0.8674433319822741,0.785700988299979,0.7037912257269084,0.8200736126210588
이랜드크루즈,0.9487481205782148,0.9825288304852726,0.8777524560832858,0.9694105816535356,0.959936515284761
신촌파랑고래,0.9656075770806744,0.9959449496190712,0.9958186101295642,0.9990393275292704,0.97993332897575
그라운드시소 성수,0.8361364463193593,0.8480894498735017,0.7312696175167642,0.8852038222707812,0.8365188789330189
